epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,464.591,1.32633,1.30538,1.20176,0.7889,0.71037,0.8069,0.48942,1.64216,1.27394,1.15122,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
74,472.556,1.54801,1.33322,1.1564,0.91771,0.73729,0.83282,0.51877,1.57716,1.24664,1.15899,0.00273789,0.000912631,0.00273789,0.000912631,0.00273789,0.000912631,0.00273789,0.000912631
75,478.554,1.46735,1.31623,1.1797,0.91771,0.73729,0.83282,0.51877,1.57716,1.24664,1.15899,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557
76,488.589,1.46094,1.25129,1.29173,0.91771,0.73729,0.83282,0.51877,1.57716,1.24664,1.15899,0.00269545,0.000898484,0.00269545,0.000898484,0.00269545,0.000898484,0.00269545,0.000898484
77,491.958,1.61971,1.48822,1.27144,0.91771,0.73729,0.83282,0.51877,1.57716,1.24664,1.15899,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
78,502.974,1.37274,1.18042,1.11144,0.88961,0.70635,0.82758,0.51421,1.5755,1.17807,1.15142,0.00265301,0.000884337,0.00265301,0.000884337,0.00265301,0.000884337,0.00265301,0.000884337
79,506.466,1.45033,1.22145,1.22655,0.88961,0.70635,0.82758,0.51421,1.5755,1.17807,1.15142,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263
80,511.034,1.282,1.18103,1.12097,0.88961,0.70635,0.82758,0.51421,1.5755,1.17807,1.15142,0.00261057,0.00087019,0.00261057,0.00087019,0.00261057,0.00087019,0.00261057,0.00087019
81,514.932,1.38979,1.21884,1.17421,0.88961,0.70635,0.82758,0.51421,1.5755,1.17807,1.15142,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
82,517.692,1.5284,1.28997,1.32245,0.84708,0.81849,0.87463,0.56554,1.41759,1.05699,1.04326,0.00256813,0.000856042,0.00256813,0.000856042,0.00256813,0.000856042,0.00256813,0.000856042
83,529.29,1.35586,1.25348,1.14771,0.84708,0.81849,0.87463,0.56554,1.41759,1.05699,1.04326,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969
84,536.301,1.17731,1.39314,1.05801,0.84708,0.81849,0.87463,0.56554,1.41759,1.05699,1.04326,0.00252569,0.000841895,0.00252569,0.000841895,0.00252569,0.000841895,0.00252569,0.000841895
85,542.921,1.40905,1.41428,1.27935,0.84708,0.81849,0.87463,0.56554,1.41759,1.05699,1.04326,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
86,553.808,1.2614,1.28832,1.0902,0.72028,0.87671,0.88986,0.5824,1.39644,1.11189,1.03698,0.00248324,0.000827748,0.00248324,0.000827748,0.00248324,0.000827748,0.00248324,0.000827748
87,564.67,1.08855,1.1378,1.05676,0.72028,0.87671,0.88986,0.5824,1.39644,1.11189,1.03698,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675
88,567.969,1.10476,1.03716,1.0139,0.72028,0.87671,0.88986,0.5824,1.39644,1.11189,1.03698,0.0024408,0.000813601,0.0024408,0.000813601,0.0024408,0.000813601,0.0024408,0.000813601
89,576.356,1.25998,1.24614,1.1771,0.72028,0.87671,0.88986,0.5824,1.39644,1.11189,1.03698,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
90,584.898,1.2806,1.20369,1.11449,0.70265,0.84022,0.89031,0.58082,1.38283,1.02863,1.03027,0.00239836,0.000799454,0.00239836,0.000799454,0.00239836,0.000799454,0.00239836,0.000799454
91,592.773,1.32716,1.13737,1.04356,0.70265,0.84022,0.89031,0.58082,1.38283,1.02863,1.03027,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238
92,595.295,1.11935,0.9872,1.04756,0.70265,0.84022,0.89031,0.58082,1.38283,1.02863,1.03027,0.00235592,0.000785307,0.00235592,0.000785307,0.00235592,0.000785307,0.00235592,0.000785307
93,601.024,1.28267,1.25356,1.115,0.70265,0.84022,0.89031,0.58082,1.38283,1.02863,1.03027,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
94,604.077,1.16858,1.11171,1.03742,0.87318,0.74406,0.87933,0.58312,1.36636,0.99178,1.02757,0.00231348,0.00077116,0.00231348,0.00077116,0.00231348,0.00077116,0.00231348,0.00077116
95,609.875,1.30753,1.26713,1.20225,0.87318,0.74406,0.87933,0.58312,1.36636,0.99178,1.02757,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086
96,621.527,1.20922,1.03523,1.06425,0.87318,0.74406,0.87933,0.58312,1.36636,0.99178,1.02757,0.00227104,0.000757013,0.00227104,0.000757013,0.00227104,0.000757013,0.00227104,0.000757013
97,625.602,1.27205,1.21721,1.18875,0.87318,0.74406,0.87933,0.58312,1.36636,0.99178,1.02757,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
98,642.159,1.25367,1.04817,1.04995,0.87746,0.74314,0.85684,0.57619,1.38792,1.03078,1.03785,0.0022286,0.000742866,0.0022286,0.000742866,0.0022286,0.000742866,0.0022286,0.000742866
99,645.125,1.17374,1.02163,1.08888,0.87746,0.74314,0.85684,0.57619,1.38792,1.03078,1.03785,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792
